Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"I10_1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527                                                   "
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
17,88000;1,07218;11588,89353;1,26986;0,00157;144,86117;0,15656;0,05143;0,06750;-0,00692
17,98000;1,07850;11648,33039;1,26984;0,00158;145,60413;0,15760;0,05177;0,06941;-0,00712
18,08000;1,08434;11701,29150;1,26973;0,00159;146,26614;0,15887;0,05219;0,07528;-0,00772
18,18000;1,09034;11762,51829;1,26992;0,00158;147,03148;0,15804;0,05191;0,07816;-0,00801
18,28000;1,09639;11816,89560;1,26967;0,00165;147,71120;0,16487;0,05416;0,06418;-0,00658
18,38000;1,10223;11873,85231;1,26933;0,00168;148,42315;0,16826;0,05527;0,06873;-0,00705
18,48000;1,10845;11930,86803;1,27032;0,00170;149,13585;0,16990;0,05581;0,06292;-0,00645
18,58000;1,11434;11985,19349;1,27022;0,00171;149,81492;0,17150;0,05633;0,07938;-0,00814
18,68000;1,12050;12045,63260;1,27025;0,00173;150,57041;0,17334;0,05694;0,07260;-0,00744
18,78000;1,12639;12100,10022;1,27029;0,00173;151,25125;0,17255;0,05668;0,07641;-0,00783
18,88000;1,13229;12159,79546;1,27038;0,00176;151,99744;0,17616;0,05786;0,07211;-0,00739
18,98000;1,13845;12215,73561;1,27019;0,00178;152,69670;0,17772;0,05838;0,07220;-0,00740
19,08000;1,14418;12270,27386;1,27044;0,00177;153,37842;0,17703;0,05815;0,08538;-0,00875
19,18000;1,15055;12331,44879;1,27035;0,00185;154,14311;0,18523;0,06084;0,08097;-0,00830
19,28000;1,15639;12384,65041;1,27032;0,00185;154,80813;0,18501;0,06077;0,08853;-0,00908
19,38000;1,16234;12445,37205;1,27046;0,00186;155,56715;0,18631;0,06120;0,08503;-0,00872
19,48000;1,16839;12501,36852;1,27036;0,00186;156,26711;0,18586;0,06105;0,09234;-0,00947
19,58000;1,17423;12557,63412;1,27046;0,00188;156,97043;0,18781;0,06169;0,09214;-0,00945
19,68000;1,18050;12616,84477;1,27036;0,00188;157,71056;0,18789;0,06172;0,09770;-0,01002
19,78000;1,18634;12671,05401;1,27048;0,00191;158,38818;0,19141;0,06288;0,09983;-0,01023
19,88000;1,19245;12732,67597;1,27052;0,00193;159,15845;0,19251;0,06324;0,10080;-0,01033
19,98000;1,19839;12787,58079;1,27042;0,00194;159,84476;0,19414;0,06377;0,11120;-0,01140
20,08000;1,20418;12846,28451;1,27062;0,00195;160,57856;0,19482;0,06400;0,11290;-0,01157
20,18000;1,21050;12904,62792;1,27070;0,00197;161,30785;0,19680;0,06465;0,05823;-0,00597
20,28000;1,21623;12958,18180;1,27056;0,00198;161,97727;0,19782;0,06498;0,06957;-0,00713
20,38000;1,22250;13022,25530;1,27054;0,00198;162,77819;0,19772;0,06495;0,06933;-0,00711
20,48000;1,22839;13076,18380;1,27070;0,00198;163,45230;0,19821;0,06511;0,05983;-0,00613
20,58000;1,23428;13135,93447;1,27051;0,00201;164,19918;0,20117;0,06608;0,06070;-0,00622
20,68000;1,24045;13193,42673;1,27041;0,00199;164,91783;0,19865;0,06525;0,06545;-0,00671
20,78000;1,24628;13248,59798;1,27058;0,00195;165,60747;0,19511;0,06409;0,06223;-0,00638
20,88000;1,25250;13308,83324;1,27048;0,00190;166,36042;0,18968;0,06231;0,07195;-0,00738
20,98000;1,25834;13364,40325;1,27044;0,00193;167,05504;0,19305;0,06341;0,06608;-0,00677
21,08000;1,26439;13427,18840;1,27051;0,00189;167,83985;0,18899;0,06208;0,07102;-0,00728
21,18000;1,27039;13482,71459;1,27060;0,00187;168,53393;0,18660;0,06129;0,06669;-0,00684
21,28000;1,27618;13540,39907;1,27064;0,00191;169,25499;0,19084;0,06269;0,07512;-0,00770
21,38000;1,28255;13600,62271;1,27053;0,00187;170,00778;0,18672;0,06134;0,08121;-0,00833
21,48000;1,28834;13654,36971;1,27077;0,00186;170,67962;0,18613;0,06114;0,06872;-0,00705
21,58000;1,29439;13717,42487;1,27071;0,00186;171,46781;0,18630;0,06120;0,06910;-0,00708
21,68000;1,30034;13772,44860;1,27057;0,00184;172,15561;0,18425;0,06052;0,06894;-0,00707
21,78000;1,30623;13831,46435;1,27055;0,00184;172,89330;0,18443;0,06058;0,09644;-0,00989
21,88000;1,31245;13890,22171;1,27088;0,00185;173,62777;0,18463;0,06065;0,09845;-0,01009
21,98000;1,31834;13945,55926;1,27092;0,00184;174,31949;0,18362;0,06032;0,09509;-0,00975
22,08000;1,32450;14007,04443;1,27082;0,00185;175,08806;0,18495;0,06075;0,08736;-0,00896
22,18000;1,33034;14062,33907;1,27094;0,00187;175,77924;0,18657;0,06129;0,09125;-0,00936
22,28000;1,33628;14122,94358;1,27076;0,00185;176,53679;0,18490;0,06074;0,08915;-0,00914
22,38000;1,34239;14179,22705;1,27093;0,00189;177,24034;0,18922;0,06216;0,09073;-0,00930
22,48000;1,34823;14235,51500;1,27109;0,00186;177,94394;0,18594;0,06108;0,08254;-0,00846
22,58000;1,35455;14297,18614;1,27102;0,00190;178,71483;0,18998;0,06240;0,08102;-0,00831
22,68000;1,36039;14351,63409;1,27096;0,00192;179,39543;0,19190;0,06304;0,08668;-0,00889
22,78000;1,36634;14414,44248;1,27136;0,00189;180,18053;0,18850;0,06192;0,08118;-0,00832
22,88000;1,37245;14471,29905;1,27110;0,00193;180,89124;0,19290;0,06337;0,08582;-0,00880
