Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527"
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
11,64800;0,69884;8502,97630;0,09272;0,00187;106,42023;0,18741;0,05386;-0,02166;0,00227
11,74800;0,70479;8562,28262;0,09262;0,00186;107,16249;0,18648;0,05359;0,02126;-0,00222
11,84800;0,71089;8615,53341;0,09312;0,00192;107,82895;0,19203;0,05519;0,01657;-0,00173
11,94800;0,71662;8669,29024;0,09285;0,00193;108,50176;0,19330;0,05556;0,00888;-0,00093
12,04800;0,72295;8726,52680;0,09293;0,00194;109,21811;0,19413;0,05579;0,01348;-0,00141
12,14800;0,72884;8778,09763;0,09287;0,00197;109,86355;0,19699;0,05661;0,01236;-0,00129
12,24800;0,73495;8837,93592;0,09260;0,00195;110,61246;0,19532;0,05613;0,01157;-0,00121
12,34800;0,74084;8888,88359;0,09283;0,00202;111,25011;0,20158;0,05793;0,01672;-0,00175
12,44800;0,74673;8943,94308;0,09263;0,00200;111,93921;0,19964;0,05738;0,01918;-0,00201
12,54800;0,75295;8997,77323;0,09257;0,00205;112,61293;0,20462;0,05881;0,01420;-0,00148
12,64800;0,75873;9047,88136;0,09261;0,00204;113,24007;0,20437;0,05874;0,01124;-0,00118
12,74800;0,76495;9106,03076;0,09322;0,00207;113,96784;0,20707;0,05951;0,00933;-0,00098
12,84800;0,77084;9154,38026;0,09247;0,00209;114,57297;0,20930;0,06015;0,00984;-0,00103
12,94800;0,77673;9209,10090;0,09230;0,00211;115,25783;0,21061;0,06053;0,00569;-0,00060
13,04800;0,78289;9259,98420;0,09276;0,00208;115,89467;0,20770;0,05969;0,01480;-0,00155
13,14800;0,78873;9308,87729;0,09278;0,00212;116,50660;0,21204;0,06094;0,00978;-0,00102
13,24800;0,79500;9363,97076;0,09281;0,00212;117,19613;0,21226;0,06100;0,00642;-0,00067
